Station;To;Departure;Arrival;Type;ID;Duration;Distance;Speed
Ehv;Ehs;2025-08-06 12:21:00;2025-08-06 12:24:00;Spr;78;3;2.6;52.0
Btl;Ot;2025-08-06 12:37:00;2025-08-06 12:44:00;Spr;78;7;8.9;76.3
Ot;Tb;2025-08-06 12:44:00;2025-08-06 12:50:00;Spr;78;6;8.1;81.0
Bet;Btl;2025-08-06 13:00:00;2025-08-06 13:07:00;Spr;79;7;9.9;84.9
Ehs;Bet;2025-08-06 12:54:00;2025-08-06 13:00:00;Spr;79;6;7.4;74.0
Ehv;Ehs;2025-08-06 12:51:00;2025-08-06 12:54:00;Spr;79;3;2.6;52.0
Btl;Ot;2025-08-06 13:07:00;2025-08-06 13:14:00;Spr;79;7;8.9;76.3
Ot;Tb;2025-08-06 13:14:00;2025-08-06 13:20:00;Spr;79;6;8.1;81.0
Bet;Btl;2025-08-06 13:30:00;2025-08-06 13:37:00;Spr;80;7;9.9;84.9
Ehs;Bet;2025-08-06 13:24:00;2025-08-06 13:30:00;Spr;80;6;7.4;74.0
Ehv;Ehs;2025-08-06 13:21:00;2025-08-06 13:24:00;Spr;80;3;2.6;52.0
Btl;Ot;2025-08-06 13:37:00;2025-08-06 13:44:00;Spr;80;7;8.9;76.3
Ot;Tb;2025-08-06 13:44:00;2025-08-06 13:50:00;Spr;80;6;8.1;81.0
Bet;Btl;2025-08-06 14:00:00;2025-08-06 14:07:00;Spr;81;7;9.9;84.9
Ehs;Bet;2025-08-06 13:54:00;2025-08-06 14:00:00;Spr;81;6;7.4;74.0
Ehv;Ehs;2025-08-06 13:51:00;2025-08-06 13:54:00;Spr;81;3;2.6;52.0
Btl;Ot;2025-08-06 14:07:00;2025-08-06 14:14:00;Spr;81;7;8.9;76.3
Ot;Tb;2025-08-06 14:14:00;2025-08-06 14:20:00;Spr;81;6;8.1;81.0
Bet;Btl;2025-08-06 14:30:00;2025-08-06 14:37:00;Spr;82;7;9.9;84.9
Ehs;Bet;2025-08-06 14:24:00;2025-08-06 14:30:00;Spr;82;6;7.4;74.0
Ehv;Ehs;2025-08-06 14:21:00;2025-08-06 14:24:00;Spr;82;3;2.6;52.0
Btl;Ot;2025-08-06 14:37:00;2025-08-06 14:44:00;Spr;82;7;8.9;76.3
Ot;Tb;2025-08-06 14:44:00;2025-08-06 14:50:00;Spr;82;6;8.1;81.0
Ehs;Bet;2025-08-06 14:54:00;2025-08-06 15:00:00;Spr;83;6;7.4;74.0
Ehv;Ehs;2025-08-06 14:51:00;2025-08-06 14:54:00;Spr;83;3;2.6;52.0
Vg;Btl;2025-08-06 12:02:00;2025-08-06 12:08:00;Spr;84;6;8.0;80.0
Btl;Bet;2025-08-06 12:08:00;2025-08-06 12:15:00;Spr;84;7;9.9;84.9
Bet;Ehs;2025-08-06 12:15:00;2025-08-06 12:21:00;Spr;84;6;7.4;74.0
Ehs;Ehv;2025-08-06 12:21:00;2025-08-06 12:24:00;Spr;84;3;2.6;52.0
Bet;Btl;2025-08-06 12:00:00;2025-08-06 12:07:00;Spr;85;7;9.9;84.9
Btl;Ot;2025-08-06 12:07:00;2025-08-06 12:14:00;Spr;85;7;8.9;76.3
Ot;Tb;2025-08-06 12:14:00;2025-08-06 12:20:00;Spr;85;6;8.1;81.0
Ehs;Ehv;2025-08-06 12:04:00;2025-08-06 12:08:00;Spr;86;4;2.6;39.0
