code;name_long;country;type
LLZM;Lansingerland-Zoetermeer;NL;stoptreinstation
LEER;Leer (Ostfriesl);D;stoptreinstation
LDM;Leerdam;NL;stoptreinstation
LW;Leeuwarden;NL;knooppuntIntercitystation
LWC;Leeuwarden Camminghaburen;NL;stoptreinstation
ELGD;Legden;D;stoptreinstation
LEDN;Leiden Centraal;NL;knooppuntIntercitystation
LDL;Leiden Lammenschans;NL;stoptreinstation
LLS;Lelystad Centrum;NL;knooppuntIntercitystation
ELET;Lette (Kr Coesfeld);D;stoptreinstation
LEUVEN;Leuven;B;intercitystation
LTV;Lichtenvoorde-Groenlo;NL;stoptreinstation
FLJ;Liège-Carré;B;stoptreinstation
LUIK;Liège-Guillemins;B;knooppuntIntercitystation
FLGP;Liège-Saint-Lambert;B;stoptreinstation
LSL;Liers;B;stoptreinstation
LILLEE;Lille Europe;F;intercitystation
FLB;Limburg Süd;D;stoptreinstation
LINZ;Linz Hbf;A;intercitystation
LC;Lochem;NL;stoptreinstation
FLK;Lokeren;B;stoptreinstation
STP;London St. Pancras Int.;GB;megastation
LP;Loppersum;NL;stoptreinstation
ELDH;Lüdinghausen;D;stoptreinstation
ELUE;Lünen Hbf;D;stoptreinstation
LTN;Lunteren;NL;stoptreinstation
MZ;Maarheeze;NL;stoptreinstation
MRN;Maarn;NL;knooppuntStoptreinstation
MAS;Maarssen;NL;stoptreinstation
MT;Maastricht;NL;knooppuntIntercitystation
MTN;Maastricht Noord;NL;stoptreinstation
MTR;Maastricht Randwyck;NL;knooppuntStoptreinstation
FMZ;Mainz Hbf;D;intercitystation
RINGS;Malmö Central;S;intercitystation
MANNHE;Mannheim Hbf;D;intercitystation
MG;Mantgum;NL;stoptreinstation
MRB;Mariënberg;NL;knooppuntSneltreinstation
MARNE;Marne-la-Vallée-Chessy;F;stoptreinstation
MARS;Marseille-St-Charles;F;intercitystation
MTH;Martenshoek;NL;stoptreinstation
MECH;Mechelen;B;knooppuntIntercitystation
MES;Meerssen;NL;sneltreinstation
LM;Melsele;B;stoptreinstation
MP;Meppel;NL;knooppuntStoptreinstation
EMTE;Metelen Land;D;stoptreinstation
MDB;Middelburg;NL;stoptreinstation
DOMOD;Milano Porta Garibaldi;I;intercitystation
BLTM;Milmort;B;stoptreinstation
MINDEN;Minden (Westf);D;stoptreinstation
MCGB;Mönchengladbach Hbf;D;knooppuntIntercitystation
MMLH;Mook-Molenhoek;NL;stoptreinstation
MOUT;Moutiers-Salins-Brides;F;stoptreinstation
MUNCHH;München Hbf;D;megastation
STRAUB;München Ost;D;intercitystation
ENHF;Münster (W) Zentrum Nord;D;stoptreinstation
MUNST;Münster (Westf) Hbf;D;knooppuntIntercitystation
ENBE;Münster-Häger;D;stoptreinstation
NDB;Naarden-Bussum;NL;knooppuntStoptreinstation
NEUSS;Neuss Hbf;D;stoptreinstation
LNI;Niel;B;stoptreinstation
NA;Nieuw Amsterdam;NL;sneltreinstation
NVP;Nieuw Vennep;NL;stoptreinstation
NWK;Nieuwerkerk a/d IJssel;NL;stoptreinstation
FNU;Nieuwkerken-Waas;B;stoptreinstation
NKK;Nijkerk;NL;stoptreinstation
NM;Nijmegen;NL;knooppuntIntercitystation
NMD;Nijmegen Dukenburg;NL;stoptreinstation
NMGO;Nijmegen Goffert;NL;stoptreinstation
NMH;Nijmegen Heyendaal;NL;stoptreinstation
NML;Nijmegen Lent;NL;stoptreinstation
NVD;Nijverdal;NL;stoptreinstation
NDKP;Noorderkempen;B;knooppuntIntercitystation
ENOW;Nordwalde;D;stoptreinstation
NS;Nunspeet;NL;stoptreinstation
NURNB;Nürnberg Hbf;D;intercitystation
NH;Nuth;NL;stoptreinstation
OBD;Obdam;NL;stoptreinstation
OBERH;Oberhausen Hbf;D;knooppuntStoptreinstation
OBERHS;Oberhausen-Sterkrade;D;stoptreinstation
EOP;Ochtrup;D;stoptreinstation
RO;Offenburg;D;sneltreinstation
OT;Oisterwijk;NL;stoptreinstation
ODZ;Oldenzaal;NL;stoptreinstation
OST;Olst;NL;intercitystation
OMN;Ommen;NL;knooppuntSneltreinstation
OTB;Oosterbeek;NL;stoptreinstation
OP;Opheusden;NL;stoptreinstation
OSNH;Osnabrück Hbf;D;megastation
O;Oss;NL;knooppuntIntercitystation
OW;Oss West;NL;stoptreinstation
ODB;Oudenbosch;NL;stoptreinstation
OVN;Overveen;NL;stoptreinstation
PARIS;Paris-Nord;F;megastation
PASS;Passau Hbf;D;intercitystation
TP;Plochingen;D;sneltreinstation
EPRA;Praest;D;stoptreinstation
EPRN;Preussen;D;stoptreinstation
PMR;Purmerend;NL;knooppuntStoptreinstation
PMO;Purmerend Overwhere;NL;stoptreinstation
PMW;Purmerend Weidevenne;NL;stoptreinstation
PT;Putten;NL;stoptreinstation
FRP;Puurs;B;stoptreinstation
RAT;Raalte;NL;stoptreinstation
RVS;Ravenstein;NL;stoptreinstation
REGENB;Regensburg Hbf;D;intercitystation
RV;Reuver;NL;stoptreinstation
RH;Rheden;NL;stoptreinstation
RHEINE;Rheine;D;knooppuntIntercitystation
RHN;Rhenen;NL;knooppuntStoptreinstation
RSN;Rijssen;NL;stoptreinstation
RSW;Rijswijk;NL;stoptreinstation
RB;Rilland-Bath;NL;stoptreinstation
RM;Roermond;NL;knooppuntIntercitystation
RD;Roodeschool;NL;stoptreinstation
RSD;Roosendaal;NL;knooppuntIntercitystation
EHW;Rosendahl-Holtwick;D;stoptreinstation
ROSENH;Rosenheim;D;intercitystation
RS;Rosmalen;NL;stoptreinstation
RTA;Rotterdam Alexander;NL;intercitystation
RTB;Rotterdam Blaak;NL;stoptreinstation
RTD;Rotterdam Centraal;NL;megastation
RLB;Rotterdam Lombardijen;NL;stoptreinstation
RTN;Rotterdam Noord;NL;stoptreinstation
RTST;Rotterdam Stadion;NL;facultatiefStation
RTZ;Rotterdam Zuid;NL;stoptreinstation
FSV;Ruisbroek-Sauvegarde;B;stoptreinstation
RL;Ruurlo;NL;stoptreinstation
SCHARD;Salzburg Hbf;A;intercitystation
SPTN;Santpoort Noord;NL;stoptreinstation
SPTZ;Santpoort Zuid;NL;stoptreinstation
SSH;Sassenheim;NL;stoptreinstation
SWD;Sauwerd;NL;stoptreinstation
SGN;Schagen;NL;stoptreinstation
SDA;Scheemda;NL;stoptreinstation
SCHLL;Schelle;B;stoptreinstation
SDM;Schiedam Centrum;NL;stoptreinstation
SOG;Schin op Geul;NL;stoptreinstation
SN;Schinnen;NL;stoptreinstation
SHL;Schiphol Airport;NL;megastation
KSWE;Schwelm;D;stoptreinstation
ESRT;Schwerte (Ruhr);D;stoptreinstation
ESEM;Selm;D;stoptreinstation
ESEB;Selm-Beifang;D;stoptreinstation
KSB;Siegburg/Bonn;D;stoptreinstation
LSW;Sinaai;B;stoptreinstation
MARIA;Sint-Mariaburg;B;stoptreinstation
FSN;Sint-Niklaas;B;stoptreinstation
STD;Sittard;NL;knooppuntIntercitystation
SDT;Sliedrecht;NL;stoptreinstation
SDTB;Sliedrecht Baanhoek;NL;stoptreinstation
SK;Sneek;NL;knooppuntStoptreinstation
SKND;Sneek Noord;NL;stoptreinstation
ST;Soest;NL;knooppuntStoptreinstation
STZ;Soest Zuid;NL;stoptreinstation
SD;Soestdijk;NL;stoptreinstation
SBK;Spaubeek;NL;stoptreinstation
POLTEN;St.Pölten Hbf;A;intercitystation
STV;Stavoren;NL;stoptreinstation
STM;Stedum;NL;stoptreinstation
SWK;Steenwijk;NL;intercitystation
EBGO;Steinfurt-Borghorst;D;stoptreinstation
EBFT;Steinfurt-Burgsteinfurt;D;stoptreinstation
EGRK;Steinfurt-Grottenkamp;D;stoptreinstation
LS;Stendal;D;intercitystation
TS;Stuttgart Hbf;D;knooppuntIntercitystation
SRN;Susteren;NL;stoptreinstation
SM;Swalmen;NL;stoptreinstation
TG;Tegelen;NL;stoptreinstation
TBG;Terborg;NL;stoptreinstation
TL;Tiel;NL;knooppuntStoptreinstation
TPSW;Tiel Passewaaij;NL;stoptreinstation
TB;Tilburg;NL;knooppuntIntercitystation
TBR;Tilburg Reeshof;NL;stoptreinstation
TBU;Tilburg Universiteit;NL;stoptreinstation
FTG;Tongeren;B;stoptreinstation
KT;Troisdorf;D;intercitystation
TWL;Twello;NL;stoptreinstation
UTG;Uitgeest;NL;knooppuntStoptreinstation
UHZ;Uithuizen;NL;stoptreinstation
UHM;Uithuizermeeden;NL;stoptreinstation
TU;Ulm Hbf;D;sneltreinstation
EUN;Unna;D;stoptreinstation
UST;Usquert;NL;stoptreinstation
UT;Utrecht Centraal;NL;megastation
UTLR;Utrecht Leidsche Rijn;NL;stoptreinstation
UTLN;Utrecht Lunetten;NL;stoptreinstation
UTM;Utrecht Maliebaan;NL;stoptreinstation
UTO;Utrecht Overvecht;NL;knooppuntStoptreinstation
UTT;Utrecht Terwijde;NL;stoptreinstation
UTVR;Utrecht Vaartsche Rijn;NL;knooppuntStoptreinstation
UTZL;Utrecht Zuilen;NL;stoptreinstation
VALTGV;Valence TGV;F;stoptreinstation
VK;Valkenburg;NL;knooppuntSneltreinstation
VSV;Varsseveld;NL;stoptreinstation
VDM;Veendam;NL;knooppuntStoptreinstation
VNDC;Veenendaal Centrum;NL;knooppuntStoptreinstation
VNDW;Veenendaal West;NL;stoptreinstation
KLP;Veenendaal-De Klomp;NL;stoptreinstation
VP;Velp;NL;stoptreinstation
MEREL;Venezia Santa Lucia;I;intercitystation
VL;Venlo;NL;knooppuntIntercitystation
VRY;Venray;NL;knooppuntStoptreinstation
VLB;Vierlingsbeek;NL;stoptreinstation
VIERS;Viersen;D;stoptreinstation
FVS;Visé;B;knooppuntStoptreinstation
VTN;Vleuten;NL;stoptreinstation
VS;Vlissingen;NL;knooppuntIntercitystation
VSS;Vlissingen Souburg;NL;stoptreinstation
VDL;Voerendaal;NL;stoptreinstation
VB;Voorburg;NL;stoptreinstation
VH;Voorhout;NL;stoptreinstation
VST;Voorschoten;NL;stoptreinstation
VEM;Voorst-Empe;NL;stoptreinstation
VD;Vorden;NL;stoptreinstation
VZ;Vriezenveen;NL;stoptreinstation
VHP;Vroomshoop;NL;stoptreinstation
VG;Vught;NL;stoptreinstation
WAD;Waddinxveen;NL;stoptreinstation
WADN;Waddinxveen Noord;NL;stoptreinstation
WADT;Waddinxveen Triangel;NL;stoptreinstation
WFM;Warffum;NL;stoptreinstation
WR;Weener;D;stoptreinstation
WT;Weert;NL;intercitystation
WP;Weesp;NL;knooppuntStoptreinstation
WL;Wehl;NL;stoptreinstation
WELS;Wels Hbf;A;intercitystation
WESEL;Wesel;D;stoptreinstation
WTV;Westervoort;NL;stoptreinstation
WZ;Wezep;NL;stoptreinstation
WBF;Wien Hbf;A;intercitystation
WIENH;Wien Hütteldorf;A;intercitystation
WDN;Wierden;NL;knooppuntStoptreinstation
WC;Wijchen;NL;stoptreinstation
WH;Wijhe;NL;intercitystation
GWD;Wildert;B;stoptreinstation
WS;Winschoten;NL;knooppuntStoptreinstation
WSM;Winsum;NL;stoptreinstation
WW;Winterswijk;NL;knooppuntStoptreinstation
WWW;Winterswijk West;NL;stoptreinstation
WD;Woerden;NL;knooppuntStoptreinstation
WF;Wolfheze;NL;stoptreinstation
HWOB;Wolfsburg Hbf;D;sneltreinstation
WV;Wolvega;NL;stoptreinstation
WORGL;Wörgl;A;intercitystation
WK;Workum;NL;stoptreinstation
WM;Wormerveer;NL;stoptreinstation
WUPPH;Wuppertal Hbf;D;stoptreinstation
KWBA;Wuppertal-Barmen;D;stoptreinstation
KWO;Wuppertal-Oberbarmen;D;stoptreinstation
WUPPV;Wuppertal-Vohwinkel;D;stoptreinstation
WURZB;Würzburg Hbf;D;intercitystation
ZD;Zaandam;NL;knooppuntIntercitystation
ZDK;Zaandam Kogerveld;NL;stoptreinstation
ZZS;Zaandijk Zaanse Schans;NL;knooppuntStoptreinstation
ZBM;Zaltbommel;NL;stoptreinstation
ZVT;Zandvoort aan Zee;NL;stoptreinstation
ZA;Zetten-Andelst;NL;stoptreinstation
ZV;Zevenaar;NL;knooppuntStoptreinstation
ZVB;Zevenbergen;NL;stoptreinstation
ZTM;Zoetermeer;NL;knooppuntStoptreinstation
ZTMO;Zoetermeer Oost;NL;stoptreinstation
ZB;Zuidbroek;NL;knooppuntStoptreinstation
